Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.16524315962,1,Growth
Marketing Specialist,Tech0logy,Large,Singapore,Medium,High,Marketing,93792.56246610906,0,Decline
AI Researcher,Tech0logy,Large,Singapore,Medium,High,UX/UI Design,107170.26306894995,1,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95375786415,0,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92217059238,1,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.00786656779,0,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.72067347592,1,Growth
Cybersecurity Analyst,Tech0logy,Small,Dubai,Medium,Low,Machine Learning,86607.31762,1,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75015.86084571481,0,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.57829480869,1,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97337925188,1,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.56574458485,0,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99034926406,1,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.51687788912,1,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.90114055389,1,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.35770690278,0,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.25928174148,0,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.89621925619,0,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.09878289838,1,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.45852718527,1,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134822.69138041462,1,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.37128058006,1,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.71444254798,0,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.56667,1,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.33040362394,1,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.37135048377,1,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95762.52473455408,0,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.29633120395,1,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16253006447,1,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.39543301976,1,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.714993791786,1,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.43468780901,1,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73376.60228,0,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118340.87641895234,1,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.30282253177,1,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102591.88272787949,1,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.46872002544,1,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101462.64105384996,1,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,103457.72432634902,1,Stable
Marketing Specialist,Tech0logy,Medium,Sydney,Medium,Medium,Machine Learning,86711.67119077238,1,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443.37363,1,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250.04370056515,1,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83131.77800824065,1,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129293.90095937817,0,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.12829899156,0,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.34253272561,0,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.38073430952,0,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83784.91056438402,1,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.01873140875,0,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.44185482766,0,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71483.61633704841,1,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.13423093103,0,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68352.65322455287,0,Decline
Software Engineer,Tech0logy,Large,Singapore,Medium,Low,Project Management,105770.97236634602,1,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,93529.74620725251,1,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91646.59773434175,1,Decline
Software Engineer,Tech0logy,Small,Paris,Low,High,Sales,103180.62697744806,0,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84489.79419063198,0,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.43918436409,1,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.10254487729,1,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118237.53037789055,0,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78981.77634890293,1,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076.41864608825,0,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429.30183074536,1,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81160.63605491581,1,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83278.52027699928,0,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96030967965,1,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,111956.84721776545,1,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86165.88172205727,1,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76167.64860362199,0,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.06375432406,1,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.34417381912,1,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.50321499295,1,Stable
